metric,name,interpretation,first,last,delta,best_min,best_max,mean,steps_logged
chaos/incidents_started,Chaos Incidents Started,Context only,1.0,2.0,1.0,1.0,2.0,1.1255411255411256,231
eval/mean_ep_length,eval/mean_ep_length,Context only,3600.0,3600.0,0.0,3600.0,3600.0,3600.0,60
eval/mean_reward,eval/mean_reward,Context only,-194619.0,-192108.09375,2510.90625,-201335.453125,-191130.03125,-193396.16979166667,60
reward/co2,reward/co2,Context only,-0.6093944311141968,-0.6721463203430176,-0.0627518892288208,-1.2706440687179565,-0.2873668074607849,-0.8182350443523438,244
reward/collisions,reward/collisions,Context only,0.0,0.0,0.0,0.0,0.0,0.0,244
reward/delta_queue,reward/delta_queue,Context only,0.23749999701976776,-0.21250000596046448,-0.45000000298023224,-0.550000011920929,0.6000000238418579,-0.03022540966812216,244
reward/delta_wait,reward/delta_wait,Context only,0.2670833468437195,-0.14374999701976776,-0.41083334386348724,-0.7929166555404663,0.5983333587646484,-0.10148565549227852,244
reward/emergency_stops,reward/emergency_stops,Context only,0.0,0.0,0.0,0.0,0.0,0.0,244
reward/gridlock,Gridlock Penalty,Closer to 0 is better,0.0,0.0,0.0,-0.550000011920929,0.0,-0.06280737721788712,244
reward/long_green,reward/long_green,Context only,0.0,0.0,0.0,0.0,0.0,0.0,244
reward/phase_change,reward/phase_change,Context only,-0.0031250000465661287,-0.0031250000465661287,0.0,-0.012500000186264515,0.0,-0.0017930328193288601,244
reward/pressure,reward/pressure,Context only,-0.3306249976158142,-0.44624999165534973,-0.11562499403953552,-0.890625,-0.16062499582767487,-0.5325281768426543,244
reward/queue,reward/queue,Context only,-0.53125,-0.862500011920929,-0.33125001192092896,-1.8203125,-0.31718748807907104,-1.0680327869829584,244
reward/raw_arrived,reward/raw_arrived,Context only,0.0625,0.3125,0.25,0.0625,1.125,0.45927254098360654,244
reward/raw_avg_speed,Average Speed,Higher is better,4.49294376373291,3.406257390975952,-1.086686372756958,1.0184231996536255,4.49294376373291,2.2884751841670177,244
reward/raw_co2,reward/raw_co2,Context only,76174.3046875,85346.3203125,9172.015625,36103.73828125,159203.546875,103524.07120901639,244
reward/raw_collisions,Collisions,Lower is better,0.0,0.0,0.0,0.0,0.0,0.0,244
reward/raw_emergency_stops,Emergency Stops,Lower is better,0.0,0.0,0.0,0.0,0.0,0.0,244
