metric,name,interpretation,first,last,delta,best_min,best_max,mean,steps_logged
chaos/incidents_started,Chaos Incidents Started,Context only,1.0,1.0,0.0,1.0,1.0,1.0,251
eval/mean_ep_length,eval/mean_ep_length,Context only,3600.0,3600.0,0.0,3600.0,3600.0,3600.0,51
eval/mean_reward,eval/mean_reward,Context only,-83799.0859375,-28541.787109375,55257.298828125,-84962.4921875,-28239.93359375,-47551.18386182598,51
reward/co2,reward/co2,Context only,-0.6185087561607361,-0.39563634991645813,0.22287240624427795,-0.9664368033409119,-0.10655974596738815,-0.5559389605204721,261
reward/collisions,reward/collisions,Context only,0.0,0.0,0.0,0.0,0.0,0.0,261
reward/delta_queue,reward/delta_queue,Context only,-0.20000000298023224,-0.06666667014360428,0.13333333283662796,-0.4166666567325592,0.4833333194255829,-0.0012771395816542637,261
reward/delta_wait,reward/delta_wait,Context only,0.48277777433395386,0.16944444179534912,-0.31333333253860474,-0.5099999904632568,0.5844444632530212,-0.0665623669876535,261
reward/emergency_stops,reward/emergency_stops,Context only,0.0,0.0,0.0,0.0,0.0,0.0,261
reward/gridlock,Gridlock Penalty,Closer to 0 is better,0.0,0.0,0.0,-0.3166666626930237,0.0,-0.008939974659418695,261
reward/pressure,reward/pressure,Context only,-0.3916666805744171,-0.20000000298023224,0.19166667759418488,-0.637499988079071,-0.046666666865348816,-0.3389655170369879,261
reward/queue,reward/queue,Context only,-0.7333333492279053,-0.34583333134651184,0.38750001788139343,-1.2208333015441895,-0.08124999701976776,-0.6200590670622629,261
reward/raw_arrived,reward/raw_arrived,Context only,0.0833333358168602,0.1666666716337204,0.0833333358168602,0.0,0.9166666865348816,0.36302681995191793,261
reward/raw_avg_speed,Average Speed,Higher is better,2.5673511028289795,4.96641731262207,2.399066209793091,1.3487972021102905,7.018049240112305,3.5232519646714016,261
reward/raw_co2,reward/raw_co2,Context only,77313.59375,49454.54296875,-27859.05078125,13319.9677734375,121305.328125,69635.6215913853,261
reward/raw_collisions,Collisions,Lower is better,0.0,0.0,0.0,0.0,0.0,0.0,261
reward/raw_emergency_stops,Emergency Stops,Lower is better,0.0,0.0,0.0,0.0,0.0,0.0,261
reward/raw_gridlock_seconds,Gridlock Seconds,Lower is better,0.0,0.0,0.0,0.0,6.333333492279053,0.1787994893346253,261
reward/raw_pressure,reward/raw_pressure,Context only,-38.83333206176758,-19.33333396911621,19.499998092651367,-63.75,-4.666666507720947,-33.711366518247175,261
reward/raw_queue,Queued Vehicles,Lower is better,29.33333396911621,13.833333015441895,-15.500000953674316,3.25,48.83333206176758,24.80236274163842,261
reward/raw_stopped_ratio,Stopped Vehicle Ratio,Lower is better,0.6954753994941711,0.4112740457057953,-0.28420135378837585,0.2819724977016449,0.7373223900794983,0.523727946697067,261
reward/raw_total_wait,Total Waiting Time,Lower is better,3734.583251953125,1244.3333740234375,-2490.2498779296875,41.91666793823242,5779.91650390625,2438.6123850299937,261
reward/raw_worst_lane_wait,Worst-Lane Waiting Time,Lower is better,1301.6666259765625,571.0,-730.6666259765625,23.25,2883.666748046875,1032.4348685458244,261
reward/reward_total,Step Reward,Higher is better,-4.789473056793213,-1.8489474058151245,2.9405256509780884,-7.65850830078125,0.2832929491996765,-3.822385251083165,261
reward/speed,reward/speed,Context only,0.3423134982585907,0.6621890068054199,0.3198755085468292,0.179839625954628,0.9357399344444275,0.4697669290034707,261
reward/throughput,Throughput Reward,Higher is better,0.0416666679084301,0.0833333358168602,0.0416666679084301,0.0,0.4583333432674408,0.18151340997595897,261
reward/wait,reward/wait,Context only,-1.8079999685287476,-0.6221666932106018,1.1858332753181458,-2.514291763305664,-0.02095833420753479,-1.1810062284584932,261
reward/worst_lane,reward/worst_lane,Context only,-1.9047222137451172,-1.1336110830307007,0.7711111307144165,-3.029444456100464,-0.07750000059604645,-1.7009163485176262,261
rollout/ep_len_mean,rollout/ep_len_mean,Context only,3600.0,3600.0,0.0,3600.0,3600.0,3600.0,207
