metric,name,interpretation,first,last,delta,best_min,best_max,mean,steps_logged
chaos/incidents_started,Chaos Incidents Started,Context only,1.0,1.0,0.0,1.0,2.0,1.1275167785234899,149
eval/mean_ep_length,eval/mean_ep_length,Context only,3600.0,3600.0,0.0,3600.0,3600.0,3600.0,39
eval/mean_reward,eval/mean_reward,Context only,-68001.5703125,-62955.7578125,5045.8125,-70003.6328125,-62054.5,-66632.36989182692,39
reward/co2,reward/co2,Context only,-0.5230472683906555,-0.7666258215904236,-0.24357855319976807,-1.0585708618164062,-0.2623022794723511,-0.6630455155550323,161
reward/collisions,reward/collisions,Context only,0.0,0.0,0.0,0.0,0.0,0.0,161
reward/delta_queue,reward/delta_queue,Context only,-0.2750000059604645,0.11249999701976776,0.38750000298023224,-0.4000000059604645,0.3125,-0.018788819779751834,161
reward/delta_wait,reward/delta_wait,Context only,-0.038333334028720856,-0.28083333373069763,-0.24249999970197678,-0.7408333420753479,0.6137499809265137,-0.10070393403402027,161
reward/emergency_stops,reward/emergency_stops,Context only,0.0,0.0,0.0,0.0,0.0,0.0,161
reward/gridlock,Gridlock Penalty,Closer to 0 is better,0.0,-0.02500000037252903,-0.02500000037252903,-0.7749999761581421,0.0,-0.02204968947454454,161
reward/long_green,reward/long_green,Context only,-1.0499999523162842,-1.649999976158142,-0.6000000238418579,-2.0999999046325684,-0.15000000596046448,-1.3370574503581716,161
reward/pressure,reward/pressure,Context only,-0.2887499928474426,-0.484375,-0.19562500715255737,-0.7362499833106995,-0.15062500536441803,-0.4106211157874291,161
reward/queue,reward/queue,Context only,-0.550000011920929,-0.96875,-0.41874998807907104,-1.498437523841858,-0.265625,-0.7864227478178392,161
reward/raw_arrived,reward/raw_arrived,Context only,0.75,0.5,-0.25,0.0625,0.875,0.43167701863354035,161
reward/raw_avg_speed,Average Speed,Higher is better,2.856886148452759,2.4236693382263184,-0.43321681022644043,1.6707316637039185,4.651446342468262,3.0855637218641196,161
reward/raw_co2,reward/raw_co2,Context only,65380.91015625,95828.2265625,30447.31640625,32787.78515625,133115.65625,83182.96731851708,161
reward/raw_collisions,Collisions,Lower is better,0.0,0.0,0.0,0.0,0.0,0.0,161
reward/raw_emergency_stops,Emergency Stops,Lower is better,0.0,0.0,0.0,0.0,0.0,0.0,161
reward/raw_gridlock_seconds,Gridlock Seconds,Lower is better,0.0,0.5,0.5,0.0,79.75,0.8478260869565217,161
reward/raw_phase_hold_seconds,reward/raw_phase_hold_seconds,Context only,4092.0,26308.0,22216.0,3780.0,47828.0,24146.85714285714,161
reward/raw_pressure,reward/raw_pressure,Context only,-28.5,-48.4375,-19.9375,-73.625,-14.1875,-40.91692546583851,161
reward/raw_queue,Queued Vehicles,Lower is better,22.0,38.75,16.75,10.625,59.9375,31.4569099378882,161
reward/raw_starvation_excess,reward/raw_starvation_excess,Context only,951.25,1201.0,249.75,241.0,8138.4375,2843.777562111801,161
reward/raw_starved_lanes,reward/raw_starved_lanes,Context only,1.0625,1.9375,0.875,0.3125,3.5625,1.7018633540372672,161
reward/raw_stopped_ratio,Stopped Vehicle Ratio,Lower is better,0.5899106860160828,0.6412916779518127,0.05138099193572998,0.42543378472328186,0.684334933757782,0.5685888136395757,161
reward/raw_total_wait,Total Waiting Time,Lower is better,1829.875,2580.75,750.875,986.25,10138.0,3969.243400621118,161
reward/raw_worst_lane_wait,Worst-Lane Waiting Time,Lower is better,901.125,1017.5625,116.4375,363.75,4253.75,1702.652950310559,161
reward/reward_total,Step Reward,Higher is better,-8.932657241821289,-13.497560501098633,-4.564903259277344,-19.841293334960938,-2.296628713607788,-11.20040588053117,161
reward/speed,reward/speed,Context only,0.38091814517974854,0.3231559097766876,-0.05776223540306091,0.22276422381401062,0.62019282579422,0.4114084956438645,161
reward/starvation,reward/starvation,Context only,-2.3887500762939453,-3.5422916412353516,-1.1535415649414062,-5.113333225250244,-0.5,-2.879204191776536,161
reward/starved_lanes,reward/starved_lanes,Context only,-0.3984375,-0.7265625,-0.328125,-1.3359375,-0.1171875,-0.6373253105590062,161
reward/throughput,Throughput Reward,Higher is better,0.375,0.25,-0.125,0.03125,0.4375,0.21583850931677018,161
reward/wait,reward/wait,Context only,-0.9149374961853027,-1.290374994277954,-0.37543749809265137,-2.9164061546325684,-0.343937486410141,-1.4112263203407667,161
reward/worst_lane,reward/worst_lane,Context only,-3.261319398880005,-4.4484028816223145,-1.1870834827423096,-5.591249942779541,-0.7014583349227905,-3.561207729837169,161
rollout/ep_len_mean,rollout/ep_len_mean,Context only,3600.0,6120.0,2520.0,3600.0,7200.0,5655.040966386555,119
rollout/ep_rew_mean,Episode Reward Mean,Higher is better,-36115.55859375,-71410.2890625,-35294.73046875,-86707.375,-31617.755859375,-63530.78162749475,119
safety/phase_forced_switches,safety/phase_forced_switches,Context only,1.0,1.0,0.0,1.0,1.0,1.0,20
time/fps,time/fps,Context only,232.0,56.0,-176.0,56.0,232.0,63.42622950819672,122
train/approx_kl,Approximate KL,Stable range: about 0.003-0.03,0.021985068917274475,0.006110345013439655,-0.01587472390383482,0.006110345013439655,0.023751143366098404,0.015077885086378775,121
train/clip_fraction,Clip Fraction,Stable range: about 0.05-0.25,0.21587523818016052,0.055328369140625,-0.16054686903953552,0.055328369140625,0.21587523818016052,0.1344846613582008,121
train/clip_range,train/clip_range,Context only,0.20000000298023224,0.20000000298023224,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,121
train/entropy_loss,Entropy Loss,Should rise gradually toward 0,-0.7592715620994568,-0.4785034954547882,0.2807680666446686,-0.8380715250968933,-0.4785034954547882,-0.6788065243851055,121
train/explained_variance,Explained Variance,Higher is better,0.9957619905471802,0.9989053606987,0.0031433701515197754,0.9908387660980225,0.9998677968978882,0.9982142734133508,121
train/learning_rate,train/learning_rate,Context only,0.00021450166241265833,5.0661667046369985e-05,-0.00016383999536628835,5.0661667046369985e-05,0.00021450166241265833,0.00013258166717988832,121
train/loss,train/loss,Context only,-0.04734441637992859,-0.04081059247255325,0.006533823907375336,-0.06675475835800171,-0.02291247621178627,-0.044831142275909744,121
train/policy_gradient_loss,Policy Gradient Loss,Context only,-0.02441692166030407,-0.017177820205688477,0.007239101454615593,-0.033423393964767456,-0.0161123126745224,-0.025001368462300496,121
train/value_loss,Value Loss,Lower is usually better,0.0025001701433211565,0.0006391291390173137,-0.0018610410043038428,0.00017470512830186635,0.0037589080166071653,0.001026533516282639,121
