metric,name,interpretation,first,last,delta,best_min,best_max,mean,steps_logged
chaos/incidents_started,Chaos Incidents Started,Context only,2.0,1.0,-1.0,1.0,2.0,1.205,200
eval/mean_ep_length,eval/mean_ep_length,Context only,3600.0,3600.0,0.0,3600.0,3600.0,3600.0,60
eval/mean_reward,eval/mean_reward,Context only,-184816.078125,-186846.09375,-2030.015625,-189700.09375,-184515.203125,-186714.28333333333,60
reward/co2,reward/co2,Context only,-0.5272198915481567,-0.6642540693283081,-0.13703417778015137,-1.1431903839111328,-0.39448750019073486,-0.7576975917470627,207
reward/collisions,reward/collisions,Context only,0.0,0.0,0.0,0.0,0.0,0.0,207
reward/delta_queue,reward/delta_queue,Context only,0.1599999964237213,-8.326673015560919e-18,-0.1599999964237213,-0.47999998927116394,0.49000000953674316,0.007729468831189588,207
reward/delta_wait,reward/delta_wait,Context only,0.009333333000540733,0.12800000607967377,0.11866667307913303,-0.7103333473205566,0.3316666781902313,-0.11516747171180727,207
reward/emergency_stops,reward/emergency_stops,Context only,0.0,0.0,0.0,0.0,0.0,0.0,207
reward/gridlock,Gridlock Penalty,Closer to 0 is better,0.0,0.0,0.0,-0.23999999463558197,0.0,-0.016038647155470893,207
reward/long_green,reward/long_green,Context only,0.0,0.0,0.0,0.0,0.0,0.0,207
reward/phase_change,reward/phase_change,Context only,-0.009999999776482582,-0.0024999999441206455,0.007499999832361937,-0.014999999664723873,0.0,-0.0028502414844354283,207
reward/pressure,reward/pressure,Context only,-0.2879999876022339,-0.3765000104904175,-0.0885000228881836,-0.737500011920929,-0.22349999845027924,-0.48472463688700673,207
reward/queue,reward/queue,Context only,-0.5237500071525574,-0.6887500286102295,-0.16500002145767212,-1.4275000095367432,-0.35749998688697815,-0.9122161839319312,207
reward/raw_arrived,reward/raw_arrived,Context only,0.30000001192092896,0.25,-0.050000011920928955,0.10000000149011612,0.949999988079071,0.4466183604537577,207
reward/raw_avg_speed,Average Speed,Higher is better,5.7352423667907715,3.6272830963134766,-2.107959270477295,1.5127378702163696,5.7352423667907715,2.649909464057517,207
reward/raw_co2,reward/raw_co2,Context only,65902.4921875,83166.78125,17264.2890625,49310.9375,142898.796875,95139.96316425121,207
reward/raw_collisions,Collisions,Lower is better,0.0,0.0,0.0,0.0,0.0,0.0,207
