metric,name,interpretation,first,last,delta,best_min,best_max,mean,steps_logged
chaos/incidents_started,Chaos Incidents Started,Context only,1.0,1.0,0.0,1.0,3.0,1.2005813953488371,344
eval/mean_ep_length,eval/mean_ep_length,Context only,3600.0,3600.0,0.0,3600.0,3600.0,3600.0,60
eval/mean_reward,eval/mean_reward,Context only,-195185.71875,-186332.828125,8852.890625,-197772.421875,-185436.78125,-189947.38776041666,60
reward/co2,reward/co2,Context only,-0.5680574774742126,-0.7348149418830872,-0.1667574644088745,-1.1383901834487915,-0.24711231887340546,-0.7524506329230859,355
reward/collisions,reward/collisions,Context only,0.0,0.0,0.0,0.0,0.0,0.0,355
reward/delta_queue,reward/delta_queue,Context only,-0.13750000298023224,0.23749999701976776,0.375,-0.5249999761581421,0.5,-0.004042253475373899,355
reward/delta_wait,reward/delta_wait,Context only,-0.13208332657814026,-0.14291666448116302,-0.010833337903022766,-0.7929166555404663,0.5523333549499512,-0.0826469482729395,355
reward/emergency_stops,reward/emergency_stops,Context only,0.0,0.0,0.0,0.0,0.0,0.0,355
reward/gridlock,Gridlock Penalty,Closer to 0 is better,0.0,-0.20000000298023224,-0.20000000298023224,-0.8500000238418579,0.0,-0.0273521127179265,355
reward/long_green,reward/long_green,Context only,0.0,0.0,0.0,0.0,0.0,0.0,355
reward/pressure,reward/pressure,Context only,-0.328125,-0.453125,-0.125,-0.7931249737739563,-0.14249999821186066,-0.4849278175914791,355
reward/queue,reward/queue,Context only,-0.614062488079071,-0.917187511920929,-0.3031250238418579,-1.595312476158142,-0.22374999523162842,-0.8976830981986623,355
reward/raw_arrived,reward/raw_arrived,Context only,0.5,0.25,-0.25,0.05000000074505806,0.9375,0.4252464804221207,355
reward/raw_avg_speed,Average Speed,Higher is better,3.636075019836426,4.414966583251953,0.7788915634155273,1.1588084697723389,5.112713813781738,2.8325669419597572,355
reward/raw_co2,reward/raw_co2,Context only,71007.1875,91851.8671875,20844.6796875,30889.0390625,143253.421875,94555.28852882923,355
reward/raw_collisions,Collisions,Lower is better,0.0,0.0,0.0,0.0,0.0,0.0,355
reward/raw_emergency_stops,Emergency Stops,Lower is better,0.0,0.0,0.0,0.0,0.0,0.0,355
reward/raw_fairness_debt,reward/raw_fairness_debt,Context only,1.7008333206176758,3.072326421737671,1.3714931011199951,0.9370694160461426,4.0,2.610370243229152,207
reward/raw_flow_gate,reward/raw_flow_gate,Context only,0.6000000238418579,0.17752499878406525,-0.42247502505779266,0.0,0.7648500204086304,0.33342349120744186,207
reward/raw_gridlock_seconds,Gridlock Seconds,Lower is better,0.0,4.0,4.0,0.0,1481.0,12.633661972762834,355
reward/raw_hard_fairness_debt,reward/raw_hard_fairness_debt,Context only,0.4000000059604645,0.800000011920929,0.4000000059604645,0.20000000298023224,1.0,0.6536231865197564,207
reward/raw_phase_changed,reward/raw_phase_changed,Context only,0.375,0.125,-0.25,0.0,0.5,0.2222183116829731,355
reward/raw_phase_hold_seconds,reward/raw_phase_hold_seconds,Context only,8.25,12.25,4.0,3.5999999046325684,14.5,7.730985901389324,355
reward/raw_pressure,reward/raw_pressure,Context only,-32.8125,-45.3125,-12.5,-79.9375,-14.125,-48.38059862163705,355
reward/raw_previous_phase_hold_seconds,reward/raw_previous_phase_hold_seconds,Context only,16.75,16.25,-0.5,8.0,18.25,11.740845067736128,355
reward/raw_queue,Queued Vehicles,Lower is better,24.5625,36.6875,12.125,8.949999809265137,64.4375,35.916126715969035,355
reward/raw_short_phase_excess,reward/raw_short_phase_excess,Context only,3.0,0.0,-3.0,0.0,3.0,0.9712676153636315,355
reward/raw_starvation_excess,reward/raw_starvation_excess,Context only,1007.9375,4338.25,3330.3125,453.4375,19546.8125,3975.1468327052157,355
reward/raw_starvation_penalty,reward/raw_starvation_penalty,Context only,1.2000000476837158,2.0192642211914062,0.8192641735076904,0.45451387763023376,2.9085328578948975,1.7554080798718088,207
reward/raw_starved_lanes,reward/raw_starved_lanes,Context only,1.5625,2.1875,0.625,0.5625,5.900000095367432,2.926654932868313,355
reward/raw_stopped_ratio,Stopped Vehicle Ratio,Lower is better,0.4770142734050751,0.5042765736579895,0.02726230025291443,0.40722841024398804,0.7443767189979553,0.5656949433642374,355
reward/raw_tail_wait_excess,reward/raw_tail_wait_excess,Context only,1040.4375,3929.125,2888.6875,465.8125,13488.875,3376.6283094809087,355
reward/raw_tail_wait_mean,reward/raw_tail_wait_mean,Context only,480.5208435058594,1478.2083740234375,997.6875305175781,262.20001220703125,4730.9375,1236.7701287927762,355
reward/raw_tail_wait_penalty,reward/raw_tail_wait_penalty,Context only,1.2000000476837158,2.0576226711273193,0.8576226234436035,0.46070408821105957,2.9295570850372314,1.7791105759316597,207
reward/raw_total_wait,Total Waiting Time,Lower is better,1874.9375,5394.625,3519.6875,910.4000244140625,21224.25,4745.897924116967,355
reward/raw_worst_lane_wait,Worst-Lane Waiting Time,Lower is better,789.5625,2253.125,1463.5625,363.6000061035156,6454.4375,1799.6168315188986,355
reward/reward_total,Step Reward,Higher is better,-10.508801460266113,-13.279899597167969,-2.7710981369018555,-54.491825103759766,-3.8753273487091064,-25.626570983000203,355
reward/short_phase,reward/short_phase,Context only,-0.1071428582072258,0.0,0.1071428582072258,-0.15000000596046448,0.0,-0.042486921514213925,355
reward/speed,reward/speed,Context only,0.4848099946975708,0.5886622667312622,0.1038522720336914,0.0,0.6816951632499695,0.26687327054604676,355
reward/starvation,reward/starvation,Context only,-2.869921922683716,-3.235781192779541,-0.3658592700958252,-20.359729766845703,-0.8475000262260437,-8.686065489641377,355
reward/starved_lanes,reward/starved_lanes,Context only,-0.703125,-0.984375,-0.28125,-4.237500190734863,-0.25312501192092896,-1.9146390903163963,355
reward/tail_wait,reward/tail_wait,Context only,-1.5722360610961914,-1.7265416383743286,-0.1543055772781372,-14.647785186767578,-0.5166944265365601,-5.988795682410119,355
reward/throughput,Throughput Reward,Higher is better,0.25,0.125,-0.125,0.0,0.46875,0.10207156918050958,355
reward/wait,reward/wait,Context only,-0.9374687671661377,-1.8168749809265137,-0.879406213760376,-3.6220624446868896,-0.383899986743927,-1.7053506196384698,355
reward/worst_lane,reward/worst_lane,Context only,-3.2738888263702393,-4.019444465637207,-0.7455556392669678,-9.452500343322754,-1.182777762413025,-5.409075115432202,355
rollout/ep_len_mean,rollout/ep_len_mean,Context only,3600.0,6840.0,3240.0,3600.0,9720.0,7155.242773775411,289
rollout/ep_rew_mean,Episode Reward Mean,Higher is better,-44635.60546875,-95888.453125,-51252.84765625,-344994.4375,-44635.60546875,-174486.83336937716,289
safety/fairness_forced_switches,safety/fairness_forced_switches,Context only,3.0,6.0,3.0,1.0,10.0,3.4396135265700485,207
safety/max_service_debt,safety/max_service_debt,Context only,641.5,1912.8499755859375,1271.3499755859375,379.25,3837.89990234375,1501.2937212220713,207
safety/phase_forced_switches,safety/phase_forced_switches,Context only,1.0,1.0,0.0,1.0,1.0,1.0,59
time/fps,time/fps,Context only,222.0,49.0,-173.0,40.0,222.0,49.55593220338983,295
train/approx_kl,Approximate KL,Stable range: about 0.003-0.03,0.026114197447896004,0.007571239024400711,-0.018542958423495293,0.005512217991054058,0.04722118377685547,0.01900992243205227,248
train/clip_fraction,Clip Fraction,Stable range: about 0.05-0.25,0.20405884087085724,0.06988769769668579,-0.13417114317417145,0.04767089709639549,0.24555176496505737,0.15226344938480085,248
train/clip_range,train/clip_range,Context only,0.20000000298023224,0.20000000298023224,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,248
train/entropy_loss,Entropy Loss,Should rise gradually toward 0,-0.602545976638794,-0.6119924187660217,-0.009446442127227783,-0.8270285129547119,-0.44303271174430847,-0.622274411661971,248
train/explained_variance,Explained Variance,Higher is better,0.9956233501434326,0.999932050704956,0.0043087005615234375,0.9784895181655884,0.9999698996543884,0.9977717034278377,248
train/learning_rate,train/learning_rate,Context only,0.00029863466625101864,5.082666757516563e-05,-0.000247807998675853,5.082666757516563e-05,0.00029863466625101864,0.00017467148458191303,248
train/loss,train/loss,Context only,-0.04778147116303444,-0.039679642766714096,0.008101828396320343,-0.07852970063686371,-0.006572224199771881,-0.04620762057452192,248
train/policy_gradient_loss,Policy Gradient Loss,Context only,-0.025583336129784584,-0.019690008834004402,0.005893327295780182,-0.042294200509786606,-0.013651740737259388,-0.02742987293224301,248
train/value_loss,Value Loss,Lower is usually better,0.0014026748249307275,8.574915409553796e-05,-0.0013169256708351895,5.267457527224906e-05,0.006737987510859966,0.0013719041896306848,248
