metric,name,interpretation,first,last,delta,best_min,best_max,mean,steps_logged
chaos/incidents_started,Chaos Incidents Started,Context only,1.0,2.0,1.0,1.0,2.0,1.2867132867132867,143
eval/mean_ep_length,eval/mean_ep_length,Context only,3600.0,3600.0,0.0,3600.0,3600.0,3600.0,43
eval/mean_reward,eval/mean_reward,Context only,-188174.609375,-186567.71875,1606.890625,-191558.171875,-184349.765625,-186799.58539244186,43
reward/co2,reward/co2,Context only,-0.5719846487045288,-0.709309458732605,-0.13732481002807617,-0.9849627614021301,-0.4476044774055481,-0.7245360912906157,148
reward/collisions,reward/collisions,Context only,0.0,0.0,0.0,0.0,0.0,0.0,148
reward/delta_queue,reward/delta_queue,Context only,0.38999998569488525,0.07000000029802322,-0.31999998539686203,-0.3799999952316284,0.4000000059604645,-0.003310810384416097,148
reward/delta_wait,reward/delta_wait,Context only,-0.061666667461395264,-0.10700000077486038,-0.04533333331346512,-0.5533333420753479,0.3243333399295807,-0.09772072060071435,148
reward/emergency_stops,reward/emergency_stops,Context only,0.0,0.0,0.0,0.0,0.0,0.0,148
reward/gridlock,Gridlock Penalty,Closer to 0 is better,0.0,-0.1599999964237213,-0.1599999964237213,-0.17000000178813934,0.0,-0.017567567275585356,148
reward/long_green,reward/long_green,Context only,0.0,0.0,0.0,0.0,0.0,0.0,148
reward/phase_change,reward/phase_change,Context only,-0.007499999832361937,-0.007499999832361937,0.0,-0.012500000186264515,0.0,-0.0029729729128145687,148
reward/pressure,reward/pressure,Context only,-0.3395000100135803,-0.46700000762939453,-0.1274999976158142,-0.690500020980835,-0.2639999985694885,-0.4600844600716153,148
reward/queue,reward/queue,Context only,-0.5262500047683716,-0.8187500238418579,-0.29250001907348633,-1.4737499952316284,-0.44999998807907104,-0.864611486929494,148
reward/raw_arrived,reward/raw_arrived,Context only,0.4000000059604645,0.75,0.3499999940395355,0.10000000149011612,0.8500000238418579,0.43108108136299494,148
reward/raw_avg_speed,Average Speed,Higher is better,4.439724922180176,3.171025276184082,-1.2686996459960938,1.7063076496124268,5.370299816131592,2.7425980962611534,148
reward/raw_co2,reward/raw_co2,Context only,71498.078125,88663.6796875,17165.6015625,55950.55859375,123936.484375,90784.9983372044,148
reward/raw_collisions,Collisions,Lower is better,0.0,0.0,0.0,0.0,0.0,0.0,148
reward/raw_emergency_stops,Emergency Stops,Lower is better,0.0,0.0,0.0,0.0,0.0,0.0,148
reward/raw_fairness_debt,reward/raw_fairness_debt,Context only,1.743749976158142,2.6428749561309814,0.8991249799728394,1.649583339691162,3.475250005722046,2.643254121413102,148
reward/raw_flow_gate,reward/raw_flow_gate,Context only,0.6000000238418579,0.3499999940395355,-0.2500000298023224,0.05000000074505806,0.6000000238418579,0.3234364033198437,148
reward/raw_gridlock_seconds,Gridlock Seconds,Lower is better,0.0,3.200000047683716,3.200000047683716,0.0,3.4000000953674316,0.3513513574930462,148
reward/raw_hard_fairness_debt,reward/raw_hard_fairness_debt,Context only,0.4000000059604645,0.6499999761581421,0.2499999701976776,0.4000000059604645,0.949999988079071,0.6621621633703644,148
reward/raw_phase_change_penalty,reward/raw_phase_change_penalty,Context only,0.15000000596046448,0.15000000596046448,0.0,0.0,0.25,0.0594594606726959,148
reward/raw_phase_changed,reward/raw_phase_changed,Context only,0.15000000596046448,0.25,0.09999999403953552,0.0,0.44999998807907104,0.18986486857505264,148
reward/raw_phase_hold_seconds,reward/raw_phase_hold_seconds,Context only,7.0,9.0,2.0,5.400000095367432,14.600000381469727,8.714864853266123,148
reward/raw_pressure,reward/raw_pressure,Context only,-33.95000076293945,-46.70000076293945,-12.75,-68.94999694824219,-26.100000381469727,-45.911824406804264,148
reward/raw_previous_phase_hold_seconds,reward/raw_previous_phase_hold_seconds,Context only,10.199999809265137,14.0,3.8000001907348633,9.199999809265137,18.200000762939453,12.532432453052417,148
reward/raw_queue,Queued Vehicles,Lower is better,21.049999237060547,32.75,11.700000762939453,18.0,58.95000076293945,34.58445936924702,148
reward/raw_short_phase_excess,reward/raw_short_phase_excess,Context only,1.0,0.800000011920929,-0.19999998807907104,0.0,2.0,0.4554054138024111,148
reward/raw_starvation_excess,reward/raw_starvation_excess,Context only,1954.5999755859375,4984.89990234375,3030.2999267578125,1017.7999877929688,10374.900390625,4113.273658958641,148
reward/raw_starvation_penalty,reward/raw_starvation_penalty,Context only,1.2000000476837158,1.8220571279525757,0.6220570802688599,1.050991177558899,2.4432098865509033,1.7623012629715171,148
reward/raw_starved_lanes,reward/raw_starved_lanes,Context only,2.25,3.049999952316284,0.7999999523162842,1.600000023841858,4.550000190734863,3.0733108158047133,148
reward/raw_stopped_ratio,Stopped Vehicle Ratio,Lower is better,0.3321773111820221,0.5407435894012451,0.20856627821922302,0.3321773111820221,0.6976985335350037,0.5810187032093873,148
reward/raw_tail_wait_excess,reward/raw_tail_wait_excess,Context only,1716.8499755859375,4597.60009765625,2880.7501220703125,941.4500122070312,8637.5498046875,3647.1101391766524,148
reward/raw_tail_wait_mean,reward/raw_tail_wait_mean,Context only,615.7000122070312,1597.8499755859375,982.1499633789062,369.8833312988281,2950.9833984375,1281.2626151007576,148
reward/raw_tail_wait_penalty,reward/raw_tail_wait_penalty,Context only,1.2000000476837158,1.8356685638427734,0.6356685161590576,1.0621708631515503,2.4523534774780273,1.7890288829803467,148
reward/raw_total_wait,Total Waiting Time,Lower is better,2306.14990234375,5436.7998046875,3130.64990234375,1389.699951171875,10990.650390625,4592.546287742821,148
reward/raw_worst_lane_wait,Worst-Lane Waiting Time,Lower is better,1039.4000244140625,2649.25,1609.8499755859375,636.5499877929688,4860.85009765625,2046.8486559068836,148
reward/reward_total,Step Reward,Higher is better,-22.259124755859375,-34.86750030517578,-12.608375549316406,-46.52090072631836,-19.729162216186523,-33.64116651947434,148
reward/short_phase,reward/short_phase,Context only,-0.05000000074505806,-0.03999999910593033,0.010000001639127731,-0.10000000149011612,0.0,-0.02277026987458403,148
reward/speed,reward/speed,Context only,0.3821013569831848,0.21261794865131378,-0.16948340833187103,0.03329181671142578,0.4736601412296295,0.15373357755408898,148
reward/starvation,reward/starvation,Context only,-8.399999618530273,-12.754399299621582,-4.354399681091309,-17.102468490600586,-7.356937885284424,-12.336108777974102,148
reward/starved_lanes,reward/starved_lanes,Context only,-1.649999976158142,-2.2874999046325684,-0.6374999284744263,-3.4124999046325684,-1.2000000476837158,-2.3009290469659343,148
